cleaned_content,sentiment
opsi batal gofood minimal bsa dibatalin menit sya slah psen menu jdi gk bsa dibatalin gkkyk app sbelah gmna sih,0
driver cancel yg pesan makan sdh tunggu dicanceled,1
makan order online coba order go food penganlaman contoh driver cemberut eksprewi wajah orang tantang kali order pembayan tunai kembali ecek dompet saku nya karna kembalianya lumayan kadang rp rp ribu,0
min mo nanya aplikasi gojek udah dipake kota aja yah,2
ga opsi call cs representatif pesan gofood udah cancel driver konfrim ga cs dibales bot ga solusi,0
tolong driver gojek arahantraining etika komunikasi konsumen bolak pakai gojek dapat driver arogan ikhlas jalan kerja sayang gojek usaha milik sdm yg pada,0
,2
ramah bawa motor nya enak,2
ramah,2
update sistem jadi sulit guna nya,0
gak topup,2
mud sabar ga grasak grusuk,2
driver nya ramah tahan ya,2
butuh goride ga yg pdhl dimaps yg nganggur ga yg ambil tumpang or yg gagal acara sekolah,0
bantu,2
maaf kadang bayar lelet suka,2
ngasih diskon ujung ujung mahal beli langsung gg lu,0
bintang cocok transaksi qris ribet qr kenallucu kali transaksi apk qris susah membacahahahaa aplikasi an bayar qris aja ribet amatcui,0
cool,2
x order beda susahhhhhhh dtivernya emang armada klo armada mending buka aplikasi yahhh barusan order ya x jam ga driver aduhhhhhhh parahhh sih tolong ya baik lagiiiiiii,0
tolong disiplin pegawai mud tolong y pesan gofood gegara hujan macet nya mikir pesan gofood ku telat pesan udah menit nya nunggu tambah kompensasi telat nya,1
kadang aplikasi eror,2
simple mantap,2
coba,2
terimakasih,2
laku senang customer gocar send barang lokasi terima hubung tlp kirim hubung nomer rumah cantum alamat komplek titip sekuriti nerima tlp call center gojek jawab tele tele shingga khabis pulsa ngadu email tanggap jalanin order jam selesai jam rugi,0
good,2
mantap,2
promo,2
bagus,2
sen makan via gofood lamalebih cepat grabfood,0
waw keren,2
pesan gofood bt buka puasa dibatalin sm aplikasi x gegara gak dapet driver sen udah jam sore nunggu jam transaksi dibatalin ulang kali parah sih kecewa banget,0
sikap driver ujung tombak hasil driver senang langgan aman nyaman salam sukses,2
baik,2
trimakasih,2
aplikasi gj driver titik ikang kabeh suwe,0
mantap jiwa,2
drivernya males gila jam kaga yg ngambil gak pake paket hemat pm klo yg ngecancel sengaja,0
wes mantap poll,2
gatau blm pke tpi feeling sih bgs yag,2
driver gojek sombong sombong males ambil order,0
pesan makan cancel driver,0
gojek kerennn bangetttt,2
good,2
kirim mantap,2
apk skrng jarang promo pdhl sklh tingkatin ya,2
tingkat,2
driver nya gk dah titik udah klik titik cancel gk nunggu banget,0
susah driver gak apk nya,0
aplikasi gblk menginstal trs anj,1
hallo masuk tolong dihimbau driver tawar customer helm nya sya driver acuh selamat customer tawar helm tawar utama selamat,0
makasih,2
bantu,2
sanget bantu,2
mohon maafsaya driver sdh th drivermasa bhr nya rbini namany ngeledek rendah drivergmn itungannya yad rekening gojeksaya balikin ajah bhr nya kali lipatkecewa kecewa sypdhl menaker suruh bhr hasil setahunini boro nya ajah jg enggahanya tenaga driver ajah yg kau mausementara hak driver kau penuhijngn kejut bnyk driver kau yg malas ambil order,0
proses cari driver banget cancel driver,1
bantu,2
suka desain kreatif bgettt karakter lucux plissss d aplikasi suara gitu jdi beli bilng pesan d proses keren suka diskon,2
mantap,2
gofood nya mahal banding apk ijo belah apk oren dapatin promo pilih reguler gak yg ekonomisitu jg ud masukin reguler beda jg promo nya,0
oke,2
bantu sekaliterima kasih gojek,2
mantul,2
promo susah ongkirnya mahal,0
login akun otp via wa g kasih udah x reg otp tp g balas nyesel udah download ulang g kepake buang kuota,0
mantap,2
simpel praktis,2
sen gojek salah kirim alamat komplain bilang sesuai alamat hadeh,0
potonganya kasi driver driver ngeluh manfaat orang untung aplikator,0
aplikasi nya bagus cuman kali sen makan nyari driver nya susah bangetlama,2
nyari alamat tuju po sinar jaya km palembang gak gojek,0
usaha gojek tolong baik karna kadang maps jalan udah cancel nya dobel tolong info ojol udah jalan jngan matiin data untk hemat batrei biar pantau chat kadang matiin data chat centang kadang ojol yg jalan udah trima order,0
cancel sm drive nya gk,0
amazing,2
tingkatin aplikasi nya,2
mantap,2
mantaaaaap,2
udah jam kode nya ga kirim kirim hdehhhh,0
bantu,2
muas karna cuaca hujan harga kendara naik x lipat nya beli gojek plus,0
,2
lngsg ku kasih bintang,2
discount gacorrrr,2
cakep dah,2
gojek teman setia jalan mana andal moga gojek tingkat kualitas layan nya naik taraf hidup driver nya happy customer happy sukses gojekhadir daerah sulit akses transportasi nya,2
gojek gojek alhamdulillah rasa driver sigap cepat savety,2
aplikasi yg mahal banget,0
gak taudari kemaren gak sen makan rame katanyq,0
pik deket mahal pnjaringan aneh,0
mantap,2
gojek top,2
bagus bgt,2
ga gopay pinjamktnya pinjam lunaslngsung bs pinjam lg manakadung dilunaskanmalah ditolakauto uninstallahkecewa kali aq cuk,0
nyaman app gojek no bug,2
kode otp wa nya gak masuk wa gimana dah tolong baik eror gak beli,0
ongkir mahal pajak mahal biaya embel embel nya kasihan driver nya ongkir nya murah potong ongkir nya bener bener peras keringat driver,0
ok,2
muas,2
jos jiss,2
bagus,2
gudjob,2
masukin nomer otp wa ga kirim kirim coba kali kali nunggu jam gimana sih udah cek bener bener nomernya bener banget sistem nya aja ga ga kirim wa kode otp nya ngeselin tolong baik,0
bhr blm turun nih jek moga bonus raya layak presiden prabowo,2
hay jek saran kn kn poin bonus biar driver gk pilih sdh potong mhal gk poin bonus driver rute titik bnerin driver suka nyasar cari almtdan comfort potong jmputan d censel kena deteksi aneh luh jek gara bhr lo kasih cm rb gojk gak kaya grab,0
bantu,2
terimakasih gojek layan bagus tolong ya tingkat kualitas drivernya driver sopan customer nya,2
tarif ubah sen gocar jam tarif k gak karna susah driver sen jam tarif k mending uninstal aja aplikasi nya apk gak kalah ama lalamove grab,0
bagus,2
,2
lengkapin isi kayak gomart nih cari butter aja mahal lengkap gitu,1
gilaa gojek orang udah bayar ongkos rb lgsng anter pakai anter lainkalau ongkir ekonomis u anter nohh tempatbeli bakmi jam udah bubur lembek tuh bakmi,0
bagus,2
bantu,2
verifikasi nya banget,0
bantu,2
mantap sangst bantu perlu hari,2
mantap,2
jossss,2
alhamdulillah ketemu driver,2
manfaat orng males rumah ga hapal jalan kayak,2
buka aplikasi nya banget ga yg suka cepat,0
kren,2
mitra tolong arah ongkos murah marah ama customer tolol,0
mantap,2
nyaman,2
kasi driver bayar adil sengsara,0
oke banget,2
training drivernya ajarin baca maps sampe gajadi pergi garagara drivernya lewat tolol,0
pake gojek alhamdulillah selamat lancar,2
good jobs,2
driver otak dangkal,0
bagos,2
good,2
top,2
aju gopay paylater nya sampe minggu ga acc wkwkw maksa banget pake gopay pinjam,1
mantul,2
ok,2
tolong baik kualitas layan customercare nya guna langsung chat sja kurang aplikasi,0
aplikasi gwendeeeng bayar gosend instant k mosok driver gocengpantesan drivernya mampir mampir multiin orderannnya fix gw un install aplikasi gwendeng udah mah mahal dzolim driver takut kena apes costumer doa driver yg dzolimi,0
tindas teruss drivermu jek,0
mudah,2
uang batal sen gojek goride gak rekening,0
sy tunggu pesan jam driver gara sy telat sahur kalo tdk driver jgn acc pesan costumer,0
ok,2
gila gojek ga mesen pake kartu gofood pakai kartu debit pas mesen bilang rame pake aplikasi trs gagal mesan saldo debit potong tulis kerja eh ga saldo suruh hubungin bank,0
blum dana paylater ni,2
kendala transaksi nya,0
bagus,2
good,2
burik,0
aja jadi kepemcet bikin sen gabisa batal emang apknya gabisa batal tambah fitur batal pesan,0
mantoel,2
mantap pis uy pokokna the best langsung aing kasih bintang keun heula well,2
gofood ongkirnya mahal pas pilih hemat nunggu jam pesan fastfood doank jarak deket,0
muncul tulis aplikasi gojek ramai pakai udah ga habis pikir gabisa pake gofood,0
kemudi arogan pesan gofood makan lempar paket hancur gk makan kapok pakai app,0
gud,2
layan nya bagussemoga tingkat layan,2
mantap,2
ok,2
muas,2
enak ya pesan makan go food cancel nunggu jam telat alas nya makan gak langsung cancel aplikasi nya gak kasih alas cancel gak cancel go food nya gak kasih kompensasi pake nunggu makan pesan makan express scam kek gin buang sia sia nunggu makan gak cancel penjelesan,0
go food nunggu jam hikmah hadeh auto uninstal,0
okelaaah,2
top,2
bantu,2
nyaman bgt,2
percaya aman kirim,2
driver suka hilang ambil makan ga ambil sampe restonya bingung ga niat drivernya,0
klik pesan voucher uda dipake pas uda pes voucher pakai,0
mantap,2
terimakasih ya,2
driver gocar profesional kalo ngga niat kerja mending nonaktif aja x cancel by driver yg udah kerja udah bosan kerja cari kerja tolong kasih perhati khusus driver yg suka cancel,0
mesan gocar dapetnya sekali,0
order gofood rb payment gpaylater cek tagih muncul rb bill rb gak sesuai janji ya gpaylater tolong aplikasi transparan cust gak kaget,0
bapak ramah sopan,2
pesan gofood pesan udah masuk resto siap jam nggak kelarsetelah jam driver aneh tdk batal gimana nih lindung konsumen tolong diperbaikisaya kecewa,0
bantu jalan,2
akun joki tolong kalo vermuk batas in nya,0
antar cepat,2
mantap,2
jossssss,2
gila aplikasi mitra yg hasil untung gojek kasih bhr gocap dzolim lo liat track kerja ga sih info lapor tahun,0
aplikasi bagus respon driver nya cepat,2
bantu,2
tolong maps aplikasi betul kl order sy kirim ulang maps kasihan driver nya putar unt tuju,2
udah kali make gojek alhasil dapt kemudi aneh ngeluh nama kerja ngisengin pelang chat mas cepat pesan uang ibuk alhasil nunggu nyamperin gojek eh omelin gojek ga bilang cepat sen nunggu sebentar langsung sampe orang bilang terkadang orng ken cepet drivernya nunggu tumpang tumpang dateng eh lambatin bangst ga rekomen,0
capek aja nunggu,0
pesan pakai gofoodorderan langsung masuk driverharus nunggu jam masuk driverbaru driver resto alhasil pesan makan pakai gofood jam sampaiuda dl lagiharap baik lg sistem nya mending pakai apk,0
tunggu driver,0
aplikasi jelek bayak driver yg tarif aplikasi alias getok harga,0
kocak udah nunggu jam driver parah nih sistem,0
sukses gojek,2
ok,2
,2
aplikasi nya bagus cepat driver tengah jalan harap ubah apa sedia sesuai aplikasi kecuali langgan nya ubah nya,2
oke,2
seru banget pakai gojek mudah,2
gojek kasih thr mitra rugi kali y klo ngluarin thr mitra yg udah gabung,0
cuaca mendung susah ya amplikasi nya tolong baik,2
terimakasih terburuburu gojek solusi,2
alam mesan go food cs kompeten wktu batas wkt buat pesan ttp tdk dicancel coba baik lgi,0
bantu,2
gampang kalo nyari makan,2
tolong evaluasi gofood nya sistem dapet driver makan kali kali pesan batal gara driver driver tunggu langsung antar apa cari driver pas makan restoran nunggu dapet driver masak driver ya batal tunggu nunggu jam tau driver ngambil nggak,0
butuh cepet driver nyangkut lama nunggu drivernya jalan kali cancel dapet driver deket,1
tolong harga makan turun harga ongkir,0
pesan gofood batalin hilang nunggu jam krn tdk mendptkan driver gojek tdk cari driver ganti,0
pesan makan adzan maghrib sampe isya gak ujungujungnya batalin aplikasi toloonggg pesan makan buka puasa kalo gak driver tombol cancel hilangin perhati gojek baca pesan,0
bagus,2
ok,2
gojek mmbntu bngt mana g kendara rmh maaf tpi terkadang driver gocar sperti jual mahal tdk ad yg angkut tdk hujan sklipun skali angkut psti lgsg cancel sm driver ny pdhl sy lgi butuh bgt dn hargany sesuai sm aplikasi,1
jelek,0
hitung mundur pesan gofood stuck sesuai tunggu kadang kalo gak stuck angka nambah,0
bantu,2
initrusted,2
susah driver jam jam sibuk drivernya cancel ga,0
gojek kadang ga tarif nya x lipat,1
udah kali sen gofood telat gak sesuai estimasi estimasi telat kalo sesuai estimasi gak telat buka puasa udah driver cancel pengirman yg gak chet restoran karna talu waduhh udah jam batalin duita maksuda coba gak banget,0
tolol,0
dapet driver nya lintas macet,0
dapet driver khususny sen makan ya ampunnnn nunggu jam kadang gimana kelas ptgojek driver susah dapet kadang udh dapet driver eh nungguin tauny driverny d ganti salah sistem driver udh males mohon benah sya guna aplikasi kecewa nungguin,0
x gofood dicancel tunggu jam sistem,0
layan cs nya ancur banget udah tau pesan stuck jam jam tetep gabisa cancel aneh deh,0
baik help centernya lg sen gofood ga dapet dapet driver nanya help center driver udh jalan resto aplikasi dapet driver kalo gin makananya udah keburu dingin kalik nungguin dapet driver doang,0
niat gak sih jemput telat cansel mulu,0
bgus,2
kecewa banget aplikasi gojek terkadang nunggu banget layananan nya cancel,0
gak notif gak order food cancel,0
mudah simpel,2
gak pmbatalan psanan gak estimasi gak brubah ttp mnit telat padahl udh nunggu sampe jam,0
sumpah yah gojekkk kalo lg cuaca buruk tuh jelek banget ud menit dapetnya yg jarak banding tuju biasa benerin napa,0
bantu,2
bantu bnget,2
bantu saat bawa kendara,2
bantu kalo ga jemput gaada kendara aplikasi penting pokok the best deh,2
tingkat pelayananya,2
mantappu jiwa,2
driver mencancel pesan gocar,0
driver yg kontollll kocak,0
aja sen makan asli udah order jam notif tulis resto makan nunggu jam jam order batal gak dapet driver sebenernya makan udah tolong baik tau kalo order ga terima nunggu jam order nunggu jam gatau ntr cancel hadeh,0
niat pake gofoodhemat biar ngirit boncos gila order makan kali dateng lokasi bener aplikasi tulis sudan kagak gak tau gak chat resto gak hubung cs gak ngerubah apa karna cs nya bot kali gak tau ah udah nunggu banget jam,0
udah nunggu jam gk ambil sekitar gojek gocar gak yg ambil,0
aplikasi mahal nunggunya,0
daerah gk d,0
kali perintah,0
drivernya belagu udah tunggu tunggu cancel,0
mantab,2
,2
good aplikasi,2
pesan goride comfort harga bayar debit batal ambil order saldo kartu,0
driver gada ambil,0
gojek bener ngebantu banget sih bayi rumah kalo sen makan ga ribet rumahyang bagus sih promo ya lumayan,2
,2
bantu pergi,2
user experience kecewa layan nya dapet driver jarak km driver,0
drivernya males kerja ga ambil makan minum yg sen kadang banget pake batalin lg,0
bagus,2
bantu thank you gojek,2
cari driver bagus suka ngelag,1
maps nya mental mental gak kaya grab,0
aplikasi susah driver argo ga sesuai,0
aplikasi brutal potong manusia manusia,0
bagus bantu,2
praktis,2
mantap,2
tv janjiinnya hasil tahun bhr nya k,0
bantu,2
sukaaa,2
limit paylater jt gak dipakewkwkwk bagus shopee,0
cepet bangets,2
,2
oke,2
,2
biaya aplikasi mahal mending si kuning si orange biaya aplikasi ngak cekik costumer driver,0
bagus,2
cs gojek kalo emang ride duduk jgn ujung lu nyetir gk gel ngimbangin badan lu motor kalo sen food send minimal liat notif hp jgn sok ente driver udh smpe respon cs nya pda lelet tp gilir mesen nya buru tolong gunain otak cs batu org ketimbang bayar jasa gak mao diperlakuin kaya bos yg bayar org juta menit,2
cepat,2
bantu,2
nya gw udah males pesan food gojeklama dapet driver nyalama nunggu pesan nyalebih pesan food aplikasi nya cepat dapat drivernya cepat antar nya,0
,0
gopaylater blokir gapernah telat bayar,0
aplikasi nya aneh suka ubah harga tinggal menit bnget cari driver,0
,2
top,2
kasih thr driver k gak dapet buanyak aplikator manusiawi,0
iklan muak,0
bantu,2
mntp cepet mksh gojek,2
cepat,2
parah,0
qris aja gak bayar,0
fitur gosend bego banget bikin orang pusing pesan gosend baik donk orang udah klik alamat baik titik peta,0
bagus bgt ko gabisa pke voucher yg udh klaim ya masukin voucher dipake jalan trus pas pake voucher nya gada vouchernya,2
tolongdong map nyah yg sesuai ngaco mulu rugi bayar mahal,0
oke,2
ok bgt y gosendnya,2
aplikasi gak kompeten guna kendala solusi cepat rugi guna,0
pamnya baca akurat,2
pendustaaaaaaa,0
jarang make,2
kali cobain aplikasi tuk gojek alhamdulillah lancar jaya ontime,2
oks,2
layan gofood konfirmasi pesan,2
gojek bantu ekonomi,1
drivernya pintar cari jalan tikus,2
sepi,0
langsung grecep drivernya moga ramai cepat driver tks,2
gara gara apk hp ku gak dengerin musik telfon ganggu,0
aplikasi bagus drivernya sok sok an batalin mesen gapake promo klo udh kaya ya jgn driver,0
pake gosent mobil utk kirim barang konsumen driver nya luar aplikasi nya barang lokasi konsumen lokasi konsumen barang lokasi luar aplikasi tpi skrg barang udh bawa lari gak antar,0
minus chat pihak resto,2
payah ah suami ngojek udh dapet thr ribu doang udh terkahir order dikit banget yg kasih order yg bayar doang biar akun rameh hadeuh payah gojek gak kaya tuh berita dapet juta thr minimal ribu boongan payah,0
sy perna dpt supir yg ga attitude sekalimarah marah,1
iklan nya gak ngotak ad iklan langsung aplikasi nya klik engk bikin kesal aja iklan gojek bikin kesel,0
serbaguna,2
pakai gojek samapai driver nya penting aman nyaman tumpang nya,2
tolong makan kirim dngn alas tdk driver apa alas dlm max menit kasih tau beli yg lapar tunggu saran,0
driver cpt cpt driver,2
pokok ok,2
mantap,2
fitur gofood tolong tambah logo halal restoran customer tau makan jual halal,2
langgan gojek plus prank merchant resto gofood plus kena ongkir mahal potong driver charge harga makan konsumen order gocar datang sengaja biar ambil cari cepat yg ujungujungnya duit,0
gk login baru cepat mulu gak update,0
mantap,2
ok,2
bhr ga dapat bulan ga sesuai intruksi tri aplikasi mong rugi fixs lebaran ofbid massal,0
ya aplikasi gojek error gabisa go food simpan alamat gosend gabisa isi gopay aja ga masuk tolong bantu min,1
layan ok banget,2
bantu,2
sukaaaa bangetttttt udaaaa dariii akuuu pakeee aplikasiii gojekkk,2
tetep jangkau harga,2
bagus bantu,2
layan,2
bagus,2
mantap,2
tolong gojek perhati drivernya pajak aplikasi potong dr aplikasi lahhh pd males driver gojek ambil order pesan gofood smpe jam g ad driver yg ambil pesan gocar jg tdinya dibatalin sma drivernya tp untung drivernya,1
ok,2
bagus,2
mntab,2
aplikasi yg tani ku mana aja mudah bayar,2
aplikasi gojek murah ongkos antar tumpang,2
okkk,2
mantap,2
good,2
update,0
enak nyaman yg jangkau jangkau,2
mantap,2
pwngguna gojek layan goofuud kecewa beli makan dateng ada dingin driver dapet order dobel lambat antar kastemer makan dingin ga fres ygharusnya mnt mnt karna ngabil order karnakan dapet dobel rugi makan tetsebut kurang makn kalo makan dingin gk enak tolong gojeg baik gooffud,0
oke,2
guna cocok males ga rumah langsung beli apk aman jamin kualitas,2
jossssangat bantu,2
ga yg daripa inikualitas no,2
tolol ga saur jam pesan ga batalin,0
aplikasi yg bantu transportasi kuliner,2
poko mantap aplikasi oke,2
senang,2
mantap,2
selesai order andal andal chat yg pilih utara langsung keti banget responnya salah driver yg chat gak balas yg chat resto chat driver balas,0
tdk beres,0
kasih thr driverminimal potong kurangintau dikit,2
app yg manfaat utk masyarakat luas,2
mantap,2
mantap,2
fitur notifikasi aktif menganggu bgt muncul notif yg diinginkanterlalu,1
,2
ok sip,2
iklan nya ganggu banget tekan tombol silang masuk apk nya play store blum download tolong kalo bikin iklan tumpuk tumpuk,0
bantu,2
good,2
,2
aplikasi sen makan kocak bgt ga dibatalin sen sesuai estimasi dah gua nungguin jam resto masak nunggu jam driver nganterin makan dah gojeek,0
mantaf,2
maaf terkaid driver kebayakn driver gak syukur kasih ad oderan byak yg canxelpesan gofood gosend drive sekrang gak syukur pdhal msih byk driver yg ngu oderan tp kebyakan pda canxel seenakya habis buang ngu drive yg canxel skli oder menang gak tpi kebaya bgaimana solusiya drive yg terkadang seenaky udah ngu tauya canxel,0
bagus,2
pake gocar bawa barang gak,1
udah sen makan trus abang udah jalan tpi bilang resto tutup suruh cari resto pas udh dapet makan resto psenan yg dah tolong dibenahin ya rugi customer,0
ga tau taruh pintu sdh has terang alamat,0
verry good,2
gak pasang tarif tarif hemat driver nya gak ambil order alas gak sesuai harga bahasa rendah costumer sen yg paket hemat trs knp adain paket hemat yg salah yg aplikasi ken kasih promo driver nya gak,0
sen gofood aplikasi tanda restoran pesan tibatiba drivernya udah chat sampe warung drivernya nunggu ga sampe menit ehh pas dateng jutek banget kasih tips gak pake aplikasi mending shopee food aja drivernya ramahramah,0
bantu dlm transportasi,2
good idea,2
bagus,2
aplikasi jelekkkkkk dibatalin sen gak sengaja gak bisaaaa kocak uang rb layang gegara aplikasi elu,0
apk ga pencet pesan batal ga ga ni apk mending apk belah,0
pakai gosendalhamdulilah sesuai estimasi,2
baik,2
go food nya lelet masak beli makan aja nunggu jam keburu gak lapar parah,0
mantap,2
,2
kereen,2
driver daerah lelet driver gojekgofood ken duit kagak siih sen makan aja yg cancel driver banyak telat driver nya,2
mantap apk nya,2
iklan nya maksa bet,0
tksi bantu gojek layan go food services,2
dipake mahall,0
gofood rada males nungguinnya ga nganter lokasi aja lamaaaaaaaaa banget makan nyampe rumah udah ga panas,1
sulitt banget yaa gojek masalah suliittt driver gofood susahh order gofood utk drivernya gak driver udah nunggu luaamaa ujung gak driverr complain pusat bantu aplikasi gofood nya sumpah ga solusi gtu ujung tuh pusat bantu tutup cakap solusi yg,0
kirim nya muas,2
antar telat skliiiii tunggu makan telat dri estimasi kirim mati lapar tggu mkanan hadehhhh x order resto yg sma tdk satu driver yg jemput,0
best deh aplikasi bantu,2
gojek grab sdm rendah hujan ambil order harga yg ambil,0
terimakasih bantu,2
akun gak masuk,0
ok,2
udah sen molor sampe buka dibatalin driver sibuk ekonomi jam habis ga emang ga masak resto,0
booking pol,0
bagus,2
ok,2
gosendnya,1
cari driver susah betpas refresh mahal bgt,0
mantab,2
bantu aq pas mager,2
buruk,0
aplikasi yg praktis saat malas rumah,2
muda promo,2
mantab,2
